ID,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,UsuarioID,MantenimientoID,tiempoResolucion,JuegoID,nivelEscalamiento
2603,Vandalismo,2024-07-14,Cerrada,"['801-92-2430', '866-57-1685', '306-25-7875']",['MNT-05836'],46,3580746,MUY URGENTE
2604,Vandalismo,2023-05-11,Cerrada,['943-62-4788'],['MNT-09320'],377,5239350,POCO URGENTE
2605,Desgaste,2024-06-01,Cerrada,"['919-66-6658', '842-55-5522']",['MNT-04037'],-1,8909732,URGENTE
2606,Mal funcionamiento,2023-03-12,Abierta,['721-49-2694'],"['MNT-02011', 'MNT-14469']",-1,4749996,POCO URGENTE
2607,Mal funcionamiento,2023-12-02,Abierta,['979-62-5323'],"['MNT-07254', 'MNT-10948']",-1,33953,POCO URGENTE
2608,Mal funcionamiento,2024-06-13,Cerrada,"['541-44-4178', '749-12-7902']",['MNT-08596'],20,60031,URGENTE
2609,Vandalismo,2023-10-22,Cerrada,['909-88-1208'],['MNT-11123'],379,33271,POCO URGENTE
2610,Mal funcionamiento,2024-03-10,Abierta,"['598-29-4990', '335-76-3029']","['MNT-13260', 'MNT-14448']",-1,5238960,URGENTE
2611,Mal funcionamiento,2024-03-30,Cerrada,"['845-77-5432', '905-91-3504', '873-27-3314']",['MNT-10882'],185,33852,MUY URGENTE
2612,Mal funcionamiento,2024-09-15,Abierta,['883-75-8104'],"['MNT-04096', 'MNT-05898']",-1,58760,POCO URGENTE
2613,Mal funcionamiento,2023-11-03,Cerrada,"['411-75-2634', '352-51-2258']",['MNT-09494'],118,7861614,URGENTE
2614,Desgaste,2024-06-05,Cerrada,"['104-16-6858', '728-22-0870']",['MNT-13150'],73,6778218,URGENTE
2615,Desgaste,2023-10-28,Cerrada,['059-92-3603'],['MNT-07103'],2,7897714,POCO URGENTE
2616,Mal funcionamiento,2024-06-10,Abierta,['377-66-9663'],"['MNT-05092', 'MNT-11042']",-1,7840615,POCO URGENTE
2617,Mal funcionamiento,2023-12-24,Abierta,"['771-73-9273', '115-75-2948']",['MNT-05339'],-1,3568569,URGENTE
2618,Desgaste,2023-10-24,Cerrada,"['747-51-2927', '826-13-0544', '739-36-6511']",['MNT-12210'],291,4730854,MUY URGENTE
2619,Desgaste,2024-03-28,Abierta,"['205-08-4445', '048-12-8714']",['MNT-00647'],-1,19359,URGENTE
2620,Mal funcionamiento,2024-02-03,Abierta,"['739-41-8680', '911-58-5275']",['MNT-04791'],-1,20812,URGENTE
2621,Rotura,2024-02-08,Cerrada,"['397-20-2580', '753-47-9617']",['MNT-01462'],127,25831,URGENTE
2622,Vandalismo,2024-05-22,Abierta,"['558-67-8680', '815-58-9702']",['MNT-05795'],-1,21394,URGENTE
2623,Rotura,2024-03-07,Abierta,"['171-36-7287', '924-77-8580']",['MNT-06950'],-1,21365,URGENTE
2624,Rotura,2023-12-01,Abierta,"['367-02-8401', '996-48-4435']","['MNT-04101', 'MNT-09611']",-1,58957,URGENTE
2625,Mal funcionamiento,2024-09-02,Cerrada,"['888-02-5417', '206-45-9316', '542-97-4854']",['MNT-14390'],-1,3567937,MUY URGENTE
2626,Vandalismo,2024-02-29,Abierta,['873-82-7370'],['MNT-12008'],-1,3576356,POCO URGENTE
2627,Vandalismo,2023-12-20,Cerrada,"['062-73-7752', '530-54-6699']",['MNT-03630'],129,6878789,URGENTE
2628,Desgaste,2024-03-17,Abierta,"['690-68-6676', '136-04-7022']",['MNT-08210'],-1,3569234,URGENTE
2629,Rotura,2023-12-28,Abierta,['047-18-7018'],['MNT-14896'],-1,58522,POCO URGENTE
2630,Desgaste,2023-11-23,Abierta,"['382-68-1739', '421-09-5280', '275-32-7910']",['MNT-05807'],-1,33070,MUY URGENTE
2631,Rotura,2024-04-15,Abierta,"['939-29-1143', '557-64-7132']",['MNT-12617'],-1,19274,URGENTE
2632,Desgaste,2024-05-17,Cerrada,['963-17-1184'],['MNT-04561'],-1,5133162,POCO URGENTE
2633,Rotura,2023-12-16,Cerrada,['327-80-7782'],['MNT-01037'],188,60169,POCO URGENTE
2634,Mal funcionamiento,2024-07-25,Abierta,"['717-41-0491', '088-70-4503', '523-45-2596']","['MNT-00025', 'MNT-01934']",-1,3997060,MUY URGENTE
2635,Mal funcionamiento,2024-02-02,Abierta,['673-93-2523'],"['MNT-02455', 'MNT-08701']",-1,7896667,POCO URGENTE
2636,Rotura,2024-08-13,Abierta,"['516-67-9899', '849-94-7091', '858-73-1875']",['MNT-11393'],-1,9223731,MUY URGENTE
2637,Desgaste,2024-06-12,Abierta,['423-37-5078'],"['MNT-07967', 'MNT-10063']",-1,19110,POCO URGENTE
2638,Rotura,2023-12-12,Cerrada,"['413-45-8331', '977-59-2210']","['MNT-13251', 'MNT-14942']",237,7835586,URGENTE
2639,Vandalismo,2024-03-28,Cerrada,['316-02-3152'],['MNT-01803'],-1,5241066,POCO URGENTE
2640,Vandalismo,2024-01-24,Abierta,['845-18-2974'],['MNT-00654'],-1,9294649,POCO URGENTE
2641,Rotura,2024-02-29,Abierta,['922-31-1886'],"['MNT-03815', 'MNT-14364']",-1,34806,POCO URGENTE
2642,Vandalismo,2024-01-25,Cerrada,['367-54-2287'],"['MNT-09520', 'MNT-09903']",159,32934,POCO URGENTE
2643,Mal funcionamiento,2024-08-08,Cerrada,['397-84-2785'],['MNT-07039'],-1,5195390,POCO URGENTE
2644,Desgaste,2023-11-06,Abierta,"['897-57-5252', '120-54-4482']",['MNT-07096'],-1,9391939,URGENTE
2645,Mal funcionamiento,2024-08-27,Abierta,"['265-39-5188', '269-40-2326']",['MNT-06387'],-1,9294596,URGENTE
2646,Vandalismo,2024-02-07,Cerrada,['758-11-4636'],['MNT-07089'],-1,59259,POCO URGENTE
2647,Desgaste,2023-11-20,Abierta,"['083-15-4918', '212-97-0206', '326-40-1586']","['MNT-02148', 'MNT-14150']",-1,25074,MUY URGENTE
2648,Mal funcionamiento,2024-08-14,Cerrada,"['793-26-0017', '321-68-0919', '326-76-3432']",['MNT-09878'],-1,8891596,MUY URGENTE
2649,Desgaste,2023-12-08,Cerrada,['468-08-8576'],['MNT-00007'],-1,8803674,POCO URGENTE
2650,Desgaste,2023-12-24,Cerrada,"['368-57-9999', '467-32-0559']",['MNT-13283'],248,3997070,URGENTE
2651,Desgaste,2024-10-09,Abierta,['294-78-3901'],"['MNT-09795', 'MNT-12498']",-1,19707,POCO URGENTE
2652,Vandalismo,2024-10-12,Abierta,"['106-38-6484', '626-82-8202']",['MNT-07086'],-1,9398092,URGENTE
2653,Desgaste,2023-12-21,Cerrada,"['570-42-7236', '699-30-4709', '369-74-2189']",['MNT-13038'],128,58209,MUY URGENTE
2654,Desgaste,2024-04-09,Abierta,"['959-71-2599', '231-57-5994']",['MNT-14337'],-1,57949,URGENTE
2655,Vandalismo,2024-09-30,Cerrada,['139-99-9309'],['MNT-13852'],-1,7168556,POCO URGENTE
2656,Mal funcionamiento,2024-02-03,Cerrada,"['956-45-8371', '693-95-3599']",['MNT-12236'],113,59898,URGENTE
2657,Vandalismo,2024-03-09,Abierta,"['832-80-3709', '031-15-5194', '218-98-9895']","['MNT-03001', 'MNT-10549']",-1,24799,MUY URGENTE
2658,Desgaste,2024-04-14,Cerrada,"['237-55-7455', '144-30-0564']",['MNT-02785'],-1,7887211,URGENTE
2659,Rotura,2023-12-30,Cerrada,"['157-54-8701', '824-86-0350']",['MNT-10146'],52,9139379,URGENTE
2660,Vandalismo,2023-12-08,Abierta,"['301-68-5351', '775-56-7915', '741-81-5616']",['MNT-09864'],-1,20318,MUY URGENTE
2661,Vandalismo,2024-12-08,Cerrada,"['978-00-2364', '592-42-6016', '912-77-8862']","['MNT-02247', 'MNT-04751', 'MNT-09770']",-1,4730879,MUY URGENTE
2662,Mal funcionamiento,2024-02-13,Cerrada,"['157-44-1541', '815-09-6129', '006-39-1711']","['MNT-08996', 'MNT-14309']",176,3576456,MUY URGENTE
2663,Rotura,2024-04-14,Abierta,['528-89-7885'],['MNT-07394'],-1,6878881,POCO URGENTE
2664,Rotura,2024-01-04,Abierta,"['261-59-6703', '381-18-9944']","['MNT-01848', 'MNT-10449']",-1,19154,URGENTE
2665,Rotura,2024-09-22,Cerrada,"['640-01-7007', '717-50-1000']",['MNT-13637'],-1,22095,URGENTE
2666,Vandalismo,2023-12-15,Cerrada,['787-67-7298'],['MNT-10785'],297,7890585,POCO URGENTE
2667,Mal funcionamiento,2023-11-07,Cerrada,"['530-85-1465', '822-56-9399', '312-87-6476']",['MNT-03459'],187,9424829,MUY URGENTE
2668,Rotura,2023-01-12,Cerrada,"['942-27-2767', '671-94-2597', '104-36-2384']",['MNT-10704'],562,9247589,MUY URGENTE
2669,Vandalismo,2024-09-10,Abierta,"['876-77-8107', '574-97-2864', '876-46-8824']",['MNT-13169'],-1,7369120,MUY URGENTE
2670,Desgaste,2024-10-12,Cerrada,"['576-85-7123', '376-35-4339']",['MNT-01906'],-1,4731655,URGENTE
2671,Vandalismo,2023-12-01,Cerrada,['764-81-8399'],['MNT-00923'],233,7889426,POCO URGENTE
2672,Desgaste,2024-12-03,Cerrada,"['824-64-5274', '492-51-9883']",['MNT-05196'],-1,58459,URGENTE
2673,Mal funcionamiento,2024-04-22,Cerrada,['220-01-1751'],['MNT-10976'],-1,9492957,POCO URGENTE
2674,Desgaste,2024-03-28,Abierta,['069-06-3855'],"['MNT-02537', 'MNT-10211']",-1,5249145,POCO URGENTE
2675,Desgaste,2024-11-01,Abierta,['981-61-1722'],"['MNT-03627', 'MNT-10050']",-1,7116166,POCO URGENTE
2676,Desgaste,2024-05-05,Abierta,"['275-07-3701', '903-29-1182', '459-76-0644']","['MNT-00290', 'MNT-07437']",-1,8909769,MUY URGENTE
2677,Desgaste,2024-06-01,Abierta,"['334-40-6369', '929-82-9160', '342-06-1657']",['MNT-06356'],-1,58320,MUY URGENTE
2678,Desgaste,2023-12-11,Abierta,['335-79-0133'],['MNT-05404'],-1,59534,POCO URGENTE
2679,Mal funcionamiento,2024-01-09,Abierta,['153-87-4772'],['MNT-02084'],-1,3575596,POCO URGENTE
2680,Mal funcionamiento,2024-10-07,Abierta,['016-30-9213'],['MNT-13318'],-1,3569309,POCO URGENTE
2681,Desgaste,2024-04-21,Cerrada,['729-51-5477'],['MNT-09173'],-1,9155797,POCO URGENTE
2682,Desgaste,2024-01-22,Cerrada,"['984-79-1833', '462-18-3439']",['MNT-06803'],-1,9223816,URGENTE
2683,Mal funcionamiento,2024-02-14,Cerrada,['161-87-9362'],['MNT-08745'],24,34866,POCO URGENTE
2684,Vandalismo,2024-08-23,Abierta,['478-69-5586'],['MNT-01806'],-1,58291,POCO URGENTE
2685,Vandalismo,2024-10-01,Abierta,['173-75-6609'],"['MNT-07491', 'MNT-08917']",-1,3576431,POCO URGENTE
2686,Vandalismo,2024-08-16,Cerrada,"['023-14-6848', '936-25-7545']","['MNT-03831', 'MNT-10031']",10,32566,URGENTE
2687,Mal funcionamiento,2023-04-12,Cerrada,"['802-57-2703', '897-70-1816', '831-45-7454']",['MNT-09441'],537,9051940,MUY URGENTE
2688,Vandalismo,2024-04-13,Abierta,['121-87-5151'],['MNT-11918'],-1,9494910,POCO URGENTE
2689,Mal funcionamiento,2023-11-20,Abierta,"['092-36-4539', '254-67-1723']",['MNT-10808'],-1,5220643,URGENTE
2690,Rotura,2024-05-04,Abierta,"['230-32-0595', '400-58-1280']",['MNT-14539'],-1,7889425,URGENTE
2691,Desgaste,2024-07-04,Abierta,"['917-99-5918', '081-26-5709']",['MNT-12383'],-1,58561,URGENTE
2692,Mal funcionamiento,2024-08-24,Abierta,"['055-21-4355', '122-67-3362']",['MNT-06770'],-1,8888657,URGENTE
2693,Rotura,2023-12-26,Cerrada,"['392-30-0195', '463-07-6119']","['MNT-07732', 'MNT-09676', 'MNT-14247']",205,21964,URGENTE
2694,Vandalismo,2024-05-22,Abierta,"['116-72-8545', '846-15-7198', '034-47-2028']",['MNT-13017'],-1,4749994,MUY URGENTE
2695,Mal funcionamiento,2024-02-19,Cerrada,"['298-12-3344', '242-59-4905', '200-32-8327']",['MNT-12940'],202,7934649,MUY URGENTE
2696,Vandalismo,2024-03-21,Abierta,['498-03-7945'],['MNT-05081'],-1,33193,POCO URGENTE
2697,Rotura,2024-09-05,Abierta,['713-18-1900'],['MNT-06868'],-1,58039,POCO URGENTE
2698,Vandalismo,2024-09-02,Abierta,"['039-22-1924', '521-85-9915']",['MNT-01855'],-1,3530766,URGENTE
2699,Rotura,2024-07-19,Abierta,"['724-40-2686', '008-09-7815']",['MNT-14597'],-1,7129040,URGENTE
2700,Vandalismo,2024-08-15,Abierta,"['905-67-2387', '578-51-7674']","['MNT-02333', 'MNT-04246']",-1,58282,URGENTE
2701,Vandalismo,2024-07-04,Abierta,['088-06-5065'],['MNT-01090'],-1,3581616,POCO URGENTE
2702,Mal funcionamiento,2024-01-29,Abierta,['711-09-6713'],['MNT-14805'],-1,8987280,POCO URGENTE
2703,Vandalismo,2024-09-17,Cerrada,"['368-03-3008', '123-63-8407']",['MNT-14071'],-1,4960343,URGENTE
2704,Rotura,2024-08-17,Cerrada,"['120-73-9615', '765-38-5493', '026-16-8377']","['MNT-07342', 'MNT-09098']",-1,8907108,MUY URGENTE
2705,Rotura,2024-02-21,Cerrada,"['050-18-8287', '628-49-8145', '860-47-4990']","['MNT-06029', 'MNT-07062']",157,33473,MUY URGENTE
2706,Rotura,2023-12-20,Cerrada,['914-48-3354'],['MNT-03885'],291,3566881,POCO URGENTE
2707,Vandalismo,2024-02-27,Cerrada,"['261-03-7771', '850-92-5459']",['MNT-08947'],31,20143,URGENTE
2708,Mal funcionamiento,2024-05-05,Cerrada,['207-70-4153'],"['MNT-06434', 'MNT-14865']",106,6878775,POCO URGENTE
2709,Desgaste,2024-07-10,Abierta,"['901-22-6261', '379-51-0287']","['MNT-02040', 'MNT-13803']",-1,3530677,URGENTE
2710,Vandalismo,2024-07-19,Abierta,"['210-52-1740', '159-62-4415']",['MNT-00396'],-1,7838839,URGENTE
2711,Vandalismo,2024-06-26,Cerrada,"['835-61-4055', '444-25-2954']",['MNT-02588'],59,34742,URGENTE
2712,Rotura,2024-03-31,Abierta,['446-03-8175'],"['MNT-03497', 'MNT-05037']",-1,22011,POCO URGENTE
2713,Mal funcionamiento,2023-12-08,Cerrada,"['876-24-5428', '982-34-7661']","['MNT-09911', 'MNT-09961']",251,33636,URGENTE
2714,Vandalismo,2023-11-16,Abierta,"['212-28-6844', '169-30-5915', '093-33-1623']",['MNT-13076'],-1,58346,MUY URGENTE
2715,Desgaste,2024-03-06,Abierta,"['339-67-0610', '812-51-5708', '182-29-7727']","['MNT-00630', 'MNT-03365', 'MNT-08501']",-1,5239289,MUY URGENTE
2716,Mal funcionamiento,2024-06-21,Abierta,['387-77-4032'],['MNT-01627'],-1,21406,POCO URGENTE
2717,Mal funcionamiento,2024-05-07,Abierta,['597-56-7596'],['MNT-03144'],-1,9220250,POCO URGENTE
2718,Rotura,2024-04-06,Abierta,['909-20-9735'],['MNT-04376'],-1,5659197,POCO URGENTE
2719,Mal funcionamiento,2024-04-30,Cerrada,['589-44-0328'],['MNT-12957'],-1,59856,POCO URGENTE
2720,Desgaste,2024-06-02,Cerrada,['830-42-1971'],"['MNT-02283', 'MNT-06459', 'MNT-10484', 'MNT-14373']",52,4731203,POCO URGENTE
2721,Rotura,2024-06-25,Abierta,['521-80-5750'],['MNT-09878'],-1,8891596,POCO URGENTE
2722,Vandalismo,2024-05-27,Abierta,"['328-13-7710', '560-66-9213', '007-78-9335']",['MNT-02074'],-1,9313191,MUY URGENTE
2723,Desgaste,2024-05-01,Cerrada,"['490-24-1863', '896-86-0196', '109-81-8180']",['MNT-04020'],-1,3573455,MUY URGENTE
2724,Rotura,2023-12-28,Cerrada,"['519-76-4203', '689-23-7748']",['MNT-04447'],119,58610,URGENTE
2725,Desgaste,2024-02-07,Cerrada,"['255-99-0013', '016-49-0519']",['MNT-12485'],59,57913,URGENTE
2726,Mal funcionamiento,2023-11-30,Cerrada,"['725-87-7363', '511-69-0190', '414-52-2091']",['MNT-02010'],136,33523,MUY URGENTE
2727,Desgaste,2024-09-06,Abierta,"['254-67-1723', '558-42-8990', '410-75-6717']",['MNT-07264'],-1,53102,MUY URGENTE
2728,Mal funcionamiento,2024-04-24,Cerrada,['690-59-7245'],"['MNT-09276', 'MNT-14877']",42,59033,POCO URGENTE
2729,Rotura,2024-08-23,Abierta,"['761-25-6963', '164-98-4369', '269-82-0462']",['MNT-11768'],-1,25783,MUY URGENTE
2730,Desgaste,2024-03-18,Abierta,"['591-30-4231', '281-15-1489', '117-30-5496']",['MNT-04336'],-1,3576579,MUY URGENTE
2731,Vandalismo,2023-12-19,Cerrada,['874-66-5263'],['MNT-09400'],19,32982,POCO URGENTE
2732,Desgaste,2023-10-17,Cerrada,['873-80-1291'],['MNT-03729'],252,3580347,POCO URGENTE
2733,Vandalismo,2024-04-24,Cerrada,"['500-48-2151', '548-53-4675', '597-23-0873']",['MNT-08830'],9,52794,MUY URGENTE
2734,Rotura,2024-07-10,Cerrada,"['216-61-3271', '340-70-3085']","['MNT-00292', 'MNT-05109']",56,34782,URGENTE
2735,Mal funcionamiento,2023-12-16,Abierta,['876-65-9604'],['MNT-10759'],-1,7761350,POCO URGENTE
2736,Mal funcionamiento,2024-02-16,Abierta,['373-56-7422'],['MNT-11552'],-1,9219243,POCO URGENTE
2737,Mal funcionamiento,2023-12-05,Abierta,"['237-99-9008', '021-51-9699', '872-73-9614']","['MNT-02194', 'MNT-05057']",-1,4730821,MUY URGENTE
2738,Mal funcionamiento,2023-12-23,Abierta,"['551-54-1569', '310-84-1076', '612-41-6662']","['MNT-04470', 'MNT-10636']",-1,20781,MUY URGENTE
2739,Rotura,2024-03-18,Abierta,"['757-91-8458', '327-42-0854']","['MNT-08085', 'MNT-10570']",-1,20843,URGENTE
2740,Desgaste,2024-02-21,Cerrada,"['114-51-5841', '683-44-0817']",['MNT-06729'],25,3575545,URGENTE
2741,Mal funcionamiento,2024-08-30,Cerrada,['890-82-5295'],['MNT-05286'],-1,20965,POCO URGENTE
2742,Mal funcionamiento,2024-05-14,Cerrada,['250-08-6690'],['MNT-01874'],52,4987177,POCO URGENTE
2743,Rotura,2024-09-15,Cerrada,['385-60-4864'],['MNT-12589'],-1,9398278,POCO URGENTE
2744,Desgaste,2024-08-23,Abierta,"['037-37-8410', '053-63-0009']",['MNT-04499'],-1,58223,URGENTE
2745,Mal funcionamiento,2024-02-12,Cerrada,['581-75-2860'],['MNT-09187'],157,5158973,POCO URGENTE
2746,Desgaste,2024-01-03,Abierta,"['149-30-2885', '881-54-3335']","['MNT-10893', 'MNT-11486']",-1,4749981,URGENTE
2747,Mal funcionamiento,2024-04-25,Cerrada,"['209-16-3872', '886-98-1074', '609-13-8058']",['MNT-13994'],-1,9181007,MUY URGENTE
2748,Rotura,2024-05-14,Cerrada,"['919-93-2412', '805-46-4942', '107-82-6500']",['MNT-08912'],33,7129039,MUY URGENTE
2749,Vandalismo,2024-07-02,Abierta,"['685-60-3923', '671-10-0301', '827-58-1001']",['MNT-01503'],-1,7538113,MUY URGENTE
2750,Vandalismo,2024-02-27,Abierta,['414-81-5353'],['MNT-09617'],-1,9446280,POCO URGENTE
2751,Rotura,2024-07-06,Cerrada,"['198-47-6401', '842-06-8345', '458-88-5651']","['MNT-08544', 'MNT-13343']",-1,25679,MUY URGENTE
2752,Mal funcionamiento,2024-07-29,Abierta,"['559-08-6202', '694-81-0619', '771-65-8952']",['MNT-05870'],-1,18814,MUY URGENTE
2753,Mal funcionamiento,2024-08-01,Cerrada,"['137-95-8324', '610-54-6471']",['MNT-01231'],-1,52977,URGENTE
2754,Rotura,2024-07-03,Cerrada,"['174-53-2565', '454-42-5664']",['MNT-11867'],-1,9289739,URGENTE
2755,Desgaste,2024-06-22,Abierta,"['236-40-0141', '891-42-5359', '347-57-0887']",['MNT-14227'],-1,3962439,MUY URGENTE
2756,Vandalismo,2024-03-23,Abierta,['345-07-4006'],['MNT-09603'],-1,8803672,POCO URGENTE
2757,Mal funcionamiento,2024-04-08,Cerrada,['786-49-5347'],['MNT-14830'],137,58696,POCO URGENTE
2758,Desgaste,2024-01-09,Abierta,"['470-20-7278', '909-82-3394', '032-93-5651']",['MNT-13392'],-1,22295,MUY URGENTE
2759,Desgaste,2024-04-24,Cerrada,"['159-22-6387', '794-24-7439', '874-87-1041']","['MNT-02272', 'MNT-11479']",147,9424277,MUY URGENTE
2760,Desgaste,2024-01-04,Abierta,['518-42-6097'],['MNT-14083'],-1,24782,POCO URGENTE
2761,Vandalismo,2024-03-11,Cerrada,['832-34-4746'],['MNT-14621'],-1,33680,POCO URGENTE
2762,Rotura,2024-07-19,Cerrada,"['662-36-3369', '744-36-8678', '540-98-7795']",['MNT-13781'],15,33283,MUY URGENTE
2763,Mal funcionamiento,2024-02-20,Abierta,['149-35-6510'],['MNT-09490'],-1,33976,POCO URGENTE
2764,Mal funcionamiento,2024-09-14,Cerrada,['875-71-4640'],['MNT-00322'],-1,4986213,POCO URGENTE
2765,Vandalismo,2023-12-17,Cerrada,"['016-54-8545', '671-06-1441', '672-42-3428']",['MNT-10525'],130,57940,MUY URGENTE
2766,Rotura,2023-03-12,Abierta,['950-96-4035'],['MNT-05806'],-1,8974958,POCO URGENTE
2767,Vandalismo,2024-04-18,Abierta,"['697-42-8912', '473-90-2919']",['MNT-08500'],-1,4988055,URGENTE
2768,Desgaste,2024-06-17,Abierta,['405-33-0830'],['MNT-10700'],-1,3573263,POCO URGENTE
2769,Desgaste,2024-10-08,Cerrada,['961-42-0901'],['MNT-03733'],4,59563,POCO URGENTE
2770,Vandalismo,2024-02-25,Cerrada,['907-81-4620'],"['MNT-01460', 'MNT-07428']",139,3845310,POCO URGENTE
2771,Rotura,2024-05-23,Abierta,"['710-97-8612', '653-80-0417']",['MNT-01285'],-1,59637,URGENTE
2772,Rotura,2024-04-30,Cerrada,"['781-45-5859', '727-23-1847', '160-14-4433']","['MNT-03665', 'MNT-10588']",65,9223997,MUY URGENTE
2773,Desgaste,2023-10-18,Abierta,"['910-96-7195', '037-43-0982', '732-35-1020']",['MNT-09277'],-1,20011,MUY URGENTE
2774,Rotura,2024-09-23,Abierta,"['074-25-1820', '771-96-6713', '895-59-3506']",['MNT-10351'],-1,22369,MUY URGENTE
2775,Mal funcionamiento,2024-08-01,Abierta,"['225-81-8797', '573-14-7586', '218-53-8592']",['MNT-00123'],-1,21087,MUY URGENTE
2776,Desgaste,2024-02-15,Cerrada,['801-44-8498'],['MNT-07629'],-1,25714,POCO URGENTE
2777,Vandalismo,2023-11-10,Abierta,['209-43-8772'],['MNT-05495'],-1,18852,POCO URGENTE
2778,Vandalismo,2024-06-01,Abierta,"['112-71-8706', '774-87-6198', '760-52-0487']",['MNT-10100'],-1,7895369,MUY URGENTE
2779,Mal funcionamiento,2023-12-30,Abierta,"['734-55-1871', '249-06-2571']","['MNT-05597', 'MNT-13441']",-1,9159041,URGENTE
2780,Mal funcionamiento,2024-02-04,Cerrada,"['224-54-7691', '589-79-4138']","['MNT-12593', 'MNT-14375']",212,7248132,URGENTE
2781,Vandalismo,2024-07-06,Cerrada,"['533-62-7404', '614-39-2112', '179-54-0185']",['MNT-13649'],-1,9220318,MUY URGENTE
2782,Rotura,2024-07-21,Cerrada,"['269-12-2602', '633-44-2210']","['MNT-00019', 'MNT-08557', 'MNT-08700']",-1,21238,URGENTE
2783,Vandalismo,2024-09-10,Cerrada,"['747-19-7075', '594-15-5241']",['MNT-03322'],-1,52869,URGENTE
2784,Rotura,2024-07-10,Cerrada,"['621-32-8863', '187-30-0836', '747-79-4540']",['MNT-14828'],-1,9439831,MUY URGENTE
2785,Rotura,2024-12-04,Cerrada,['647-29-5550'],['MNT-01670'],-1,58603,POCO URGENTE
2786,Desgaste,2023-12-03,Abierta,['867-83-8754'],"['MNT-01411', 'MNT-04041']",-1,22447,POCO URGENTE
2787,Desgaste,2024-06-07,Abierta,"['420-46-0786', '187-05-8164']",['MNT-12015'],-1,21676,URGENTE
2788,Rotura,2024-08-31,Cerrada,['336-03-8254'],"['MNT-02066', 'MNT-13590']",-1,58011,POCO URGENTE
2789,Rotura,2023-12-01,Abierta,['871-28-1730'],['MNT-07346'],-1,59626,POCO URGENTE
2790,Vandalismo,2024-05-08,Abierta,"['710-94-5927', '654-22-6592']",['MNT-05303'],-1,9235230,URGENTE
2791,Vandalismo,2024-08-18,Abierta,['633-67-0957'],"['MNT-10773', 'MNT-13130']",-1,25747,POCO URGENTE
2792,Desgaste,2024-03-20,Cerrada,"['300-03-4222', '394-90-3806', '109-81-8180']","['MNT-05496', 'MNT-06439']",149,21833,MUY URGENTE
2793,Vandalismo,2024-07-21,Cerrada,"['622-90-8309', '632-08-4041', '717-58-3645']",['MNT-05276'],-1,22116,MUY URGENTE
2794,Mal funcionamiento,2024-12-02,Cerrada,['460-51-1910'],['MNT-14909'],-1,20888,POCO URGENTE
2795,Rotura,2023-11-18,Cerrada,['090-15-7978'],['MNT-10590'],58,33238,POCO URGENTE
2796,Rotura,2024-06-30,Abierta,"['063-21-0872', '405-44-4092', '772-42-1949']",['MNT-10480'],-1,59802,MUY URGENTE
2797,Mal funcionamiento,2024-04-14,Abierta,"['591-84-2993', '885-73-0443', '225-63-7906']","['MNT-07415', 'MNT-09574']",-1,20785,MUY URGENTE
2798,Rotura,2024-10-03,Abierta,['801-44-9877'],['MNT-10980'],-1,9271148,POCO URGENTE
2799,Desgaste,2024-07-03,Cerrada,"['020-52-3744', '678-95-0815', '104-33-6871']",['MNT-12051'],-1,9179443,MUY URGENTE
2800,Rotura,2024-03-28,Abierta,['135-90-7038'],['MNT-00855'],-1,52905,POCO URGENTE
2801,Rotura,2024-07-22,Abierta,"['424-86-4616', '574-64-4173']","['MNT-12615', 'MNT-13685', 'MNT-13799']",-1,9226855,URGENTE
2802,Vandalismo,2024-03-09,Cerrada,"['340-13-8434', '379-41-2828']",['MNT-09681'],-1,3573910,URGENTE
2803,Mal funcionamiento,2024-03-04,Cerrada,['452-93-6686'],['MNT-03653'],-1,19151,POCO URGENTE
2804,Vandalismo,2023-12-30,Abierta,['616-59-1540'],['MNT-10491'],-1,33264,POCO URGENTE
2805,Rotura,2024-08-29,Abierta,['611-46-8161'],['MNT-12979'],-1,9289335,POCO URGENTE
2806,Rotura,2024-08-12,Abierta,"['486-03-3139', '446-65-2657']",['MNT-10799'],-1,9424437,URGENTE
2807,Mal funcionamiento,2023-11-30,Cerrada,"['900-26-1496', '554-90-9685']",['MNT-04920'],262,52880,URGENTE
2808,Rotura,2024-10-05,Cerrada,"['995-52-2406', '579-96-7906']","['MNT-05186', 'MNT-06311']",-1,24810,URGENTE
2809,Vandalismo,2024-06-07,Cerrada,"['220-88-0126', '898-54-6412']",['MNT-00462'],-1,3580357,URGENTE
2810,Vandalismo,2024-09-02,Abierta,"['573-71-3686', '864-77-2097']",['MNT-07706'],-1,59403,URGENTE
2811,Rotura,2024-03-23,Cerrada,['529-49-9168'],['MNT-03373'],0,58938,POCO URGENTE
2812,Desgaste,2023-11-14,Abierta,['344-99-0455'],"['MNT-09763', 'MNT-12847']",-1,7861591,POCO URGENTE
2813,Vandalismo,2024-06-30,Cerrada,['104-36-2384'],['MNT-04538'],-1,7858370,POCO URGENTE
2814,Vandalismo,2024-09-05,Cerrada,"['782-70-6692', '187-52-1862', '721-72-4293']",['MNT-08400'],-1,3567929,MUY URGENTE
2815,Desgaste,2024-06-13,Abierta,"['771-62-2785', '153-97-1509', '355-12-4593']",['MNT-11857'],-1,3581604,MUY URGENTE
2816,Rotura,2024-08-12,Cerrada,['792-99-5812'],['MNT-11492'],111,5158889,POCO URGENTE
